TGL Business Subsegment,Anon Period,Revenue_Predicted
SSI02710,44,2887.48046875
SSI02710,45,3037.234375
SSI02710,48,2800.11328125
SSI0271002,43,1349763.375
SSI0271002,44,1252569.75
SSI0271002,45,1266035.125
SSI0271002,46,1163197.25
SSI0271002,47,1136199.625
SSI0271002,48,1110928.625
SSI0271004,45,-2.5489717003779333e-09
SSI0271006,43,6453.8408203125
SSI02780,43,0.033278465270996094
SSI02780,44,0.08939647674560547
SSI02780,45,0.03239154815673828
SSI02780,46,0.07041645050048828
SSI02780,47,0.10569000244140625
SSI02780,48,0.0803370475769043
SSI0278002,43,211225936.0
SSI0278002,44,216546528.0
SSI0278002,45,216262272.0
SSI0278002,46,215475104.0
SSI0278002,47,211107280.0
SSI0278002,48,237650144.0
SSI0278004,43,115537632.0
SSI0278004,44,119637304.0
SSI0278004,45,119989944.0
SSI0278004,46,118309240.0
SSI0278004,47,112708832.0
SSI0278004,48,122189224.0
SSI0278006,43,5652868.5
SSI0278006,44,5533249.0
SSI0278006,45,5437845.0
SSI0278006,46,5341980.0
SSI0278006,47,5342307.5
SSI0278006,48,5428492.5
SSI0278099,43,1596340.625
SSI0278099,44,1559871.0
SSI0278099,45,1532678.0
SSI0278099,46,1517877.75
SSI0278099,47,1459483.25
SSI0278099,48,1452598.75
SSI02782,43,267826.96875
SSI02782,44,289075.625
SSI02782,45,263368.71875
SSI02782,46,293885.0625
SSI02782,47,319300.125
SSI02782,48,302443.0625
SSI0278202,43,146046016.0
SSI0278202,44,161082160.0
SSI0278202,45,182400640.0
SSI0278202,46,155905184.0
SSI0278202,47,175778848.0
SSI0278202,48,218637584.0
SSI0278204,43,94666656.0
SSI0278204,44,102597576.0
SSI0278204,45,115214096.0
SSI0278204,46,97811120.0
SSI0278204,47,107083088.0
SSI0278204,48,162584928.0
SSI0278206,43,49156340.0
SSI0278206,44,51829412.0
SSI0278206,45,60441244.0
SSI0278206,46,55375732.0
SSI0278206,47,58754408.0
SSI0278206,48,93679888.0
SSI0278208,43,28892890.0
SSI0278208,44,28676566.0
SSI0278208,45,28703500.0
SSI0278208,46,27667712.0
SSI0278208,47,27132080.0
SSI0278208,48,26245270.0
SSI0278210,43,3306181.5
