TGL Business Subsegment,Anon Period,Revenue_Predicted
SSI02710,44,2442.609375
SSI02710,45,996.546875
SSI02710,48,3712.5
SSI0271002,43,1233851.25
SSI0271002,44,1035174.875
SSI0271002,45,1049930.625
SSI0271002,46,1003411.5
SSI0271002,47,960050.625
SSI0271002,48,969628.0
SSI0271004,45,0.0
SSI0271006,43,1214.0048828125
SSI02780,43,0.07772588729858398
SSI02780,44,0.10211563110351562
SSI02780,45,0.1020653247833252
SSI02780,46,0.11336994171142578
SSI02780,47,0.08153772354125977
SSI02780,48,0.1044001579284668
SSI0278002,43,217985168.0
SSI0278002,44,218915568.0
SSI0278002,45,216414336.0
SSI0278002,46,219534832.0
SSI0278002,47,219427344.0
SSI0278002,48,226648976.0
SSI0278004,43,118631560.0
SSI0278004,44,121628080.0
SSI0278004,45,117332216.0
SSI0278004,46,120868880.0
SSI0278004,47,115764952.0
SSI0278004,48,120901232.0
SSI0278006,43,5657748.5
SSI0278006,44,5982085.0
SSI0278006,45,6287954.0
SSI0278006,46,6627519.0
SSI0278006,47,6908176.0
SSI0278006,48,7118511.0
SSI0278099,43,1651132.75
SSI0278099,44,1645171.25
SSI0278099,45,1635481.0
SSI0278099,46,1626432.75
SSI0278099,47,1584989.75
SSI0278099,48,1586957.5
SSI02782,43,322401.3125
SSI02782,44,316802.53125
SSI02782,45,320017.125
SSI02782,46,275110.5625
SSI02782,47,224137.453125
SSI02782,48,270009.6875
SSI0278202,43,151481920.0
SSI0278202,44,170138000.0
SSI0278202,45,182377216.0
SSI0278202,46,159508752.0
SSI0278202,47,176216960.0
SSI0278202,48,203324896.0
SSI0278204,43,95550104.0
SSI0278204,44,104632968.0
SSI0278204,45,114305576.0
SSI0278204,46,97638288.0
SSI0278204,47,107761712.0
SSI0278204,48,139239232.0
SSI0278206,43,51180564.0
SSI0278206,44,53361104.0
SSI0278206,45,55079864.0
SSI0278206,46,54039320.0
SSI0278206,47,54533168.0
SSI0278206,48,62376680.0
SSI0278208,43,25028580.0
SSI0278208,44,23624284.0
SSI0278208,45,22331960.0
SSI0278208,46,21564166.0
SSI0278208,47,20272900.0
SSI0278208,48,19535392.0
SSI0278210,43,2583749.0
SSI0278210,44,2341397.5
SSI0278210,45,2123409.5
SSI0278210,46,1812687.625
SSI0278210,47,1606095.625
SSI0278210,48,1473274.75
SSI0278212,43,1172609.5
SSI0278212,44,982732.1875
SSI0278212,45,858127.25
SSI0278212,46,750884.9375
SSI0278212,47,673832.875
SSI0278212,48,618488.25
SSI0278214,43,49349.3828125
SSI0278214,44,46707.8125
SSI0278214,45,46147.953125
SSI0278214,46,45323.46484375
SSI0278214,47,46075.890625
SSI0278214,48,45270.98046875
SSI0278216,43,-1030.5596923828125
SSI0278216,44,-873.9844360351562
SSI0278216,45,-701.400634765625
SSI0278216,46,-612.6346435546875
SSI0278216,47,-565.419921875
SSI0278216,48,-598.4981689453125
SSI0278291,43,468380.46875
SSI0278291,44,418841.75
SSI0278291,45,385276.3125
SSI0278291,46,343141.75
SSI0278291,47,304177.0
SSI0278291,48,266028.8125
SSI02784,43,22642.17578125
SSI02784,44,20478.337890625
SSI02784,45,18485.921875
SSI02784,46,18541.43359375
SSI02784,47,18112.36328125
SSI02784,48,18055.33984375
SSI0278402,43,23587370.0
SSI0278402,44,23654556.0
SSI0278402,45,24160288.0
SSI0278402,46,23033642.0
SSI0278402,47,23520488.0
SSI0278402,48,24152516.0
SSI0278404,43,26403064.0
SSI0278404,44,26359872.0
SSI0278404,45,26774596.0
SSI0278404,46,26603598.0
SSI0278404,47,27011400.0
SSI0278404,48,27365678.0
SSI0278406,43,10842456.0
SSI0278406,44,10770567.0
SSI0278406,45,10701642.0
SSI0278406,46,10574168.0
SSI0278406,47,10530084.0
SSI0278406,48,10639300.0
SSI0278408,43,65688480.0
SSI0278408,44,70349800.0
SSI0278408,45,72657768.0
SSI0278408,46,67242624.0
SSI0278408,47,70452016.0
SSI0278408,48,77954760.0
SSI0278410,43,13406804.0
SSI0278410,44,13414993.0
SSI0278410,45,13409740.0
SSI0278410,46,13442738.0
SSI0278410,47,13543634.0
SSI0278410,48,13516106.0
SSI0278412,43,973288.8125
SSI0278412,44,957168.625
SSI0278412,45,978631.125
SSI0278412,46,943432.4375
SSI0278412,47,956528.5
SSI0278412,48,978435.875
SSI0278414,43,306085.125
SSI0278414,44,315069.6875
SSI0278414,45,308987.0625
SSI0278414,46,304651.8125
SSI0278414,47,290949.625
SSI0278414,48,297307.375
SSI0278416,43,1575497.5
SSI0278416,44,1531212.75
SSI0278416,45,1487188.5
SSI0278416,46,1531320.75
SSI0278416,47,1459139.75
SSI0278416,48,1465312.0
SSI0278418,43,29687.322265625
SSI0278418,44,23995.23828125
SSI0278418,45,20450.337890625
SSI0278418,46,17837.765625
SSI0278418,47,15918.6689453125
SSI0278418,48,14534.0517578125
SSI0278420,43,76025712.0
SSI0278420,44,77742128.0
SSI0278420,45,79319256.0
SSI0278420,46,74955304.0
SSI0278420,47,76155504.0
SSI0278420,48,78679080.0
SSI0278422,43,31097376.0
SSI0278422,44,31562748.0
SSI0278422,45,33298662.0
SSI0278422,46,31506516.0
SSI0278422,47,32247180.0
SSI0278422,48,33128196.0
